Build Timestamp (UTC)	Build	Job	Job URL	Build Trigger	Allow Job Failure	PR#	Branch	Commit	Commit Range	Commit Message	Sketch Filename	Board ID	IDE Version	Program Storage (bytes)	Dynamic Memory (bytes)	# Warnings	Allow Failure	Exit Status	# Board Issues	Board Issue	# Library Issues	Library Issue
2018-05-26 11:43:35	50	50.1	https://travis-ci.org/per1234/wirino/jobs/384062556	push	false	false	typo	676804c055c5d20e80fab9a0ac01d90cbbb5b8c5	157e9ea49bf4...676804c055c5	f	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	wirino:avr:WiringS:clock=16MHz,BOD=2V7,bootloader=wiring,EESAVE=yes,LTO=no	1.6.5-r5	470	9	0	false	0	0		0	
2018-05-26 11:43:45	50	50.1	https://travis-ci.org/per1234/wirino/jobs/384062556	push	false	false	typo	676804c055c5d20e80fab9a0ac01d90cbbb5b8c5	157e9ea49bf4...676804c055c5	f	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	wirino:avr:WiringS:clock=16MHz,BOD=2V7,bootloader=wiring,EESAVE=yes,LTO=no	1.6.9	470	9	0	false	0	0		0	
2018-05-26 11:43:54	50	50.1	https://travis-ci.org/per1234/wirino/jobs/384062556	push	false	false	typo	676804c055c5d20e80fab9a0ac01d90cbbb5b8c5	157e9ea49bf4...676804c055c5	f	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	wirino:avr:WiringS:clock=16MHz,BOD=2V7,bootloader=wiring,EESAVE=yes,LTO=no	1.6.11	470	9	0	false	0	0		0	
2018-05-26 11:44:04	50	50.1	https://travis-ci.org/per1234/wirino/jobs/384062556	push	false	false	typo	676804c055c5d20e80fab9a0ac01d90cbbb5b8c5	157e9ea49bf4...676804c055c5	f	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	wirino:avr:WiringS:clock=16MHz,BOD=2V7,bootloader=wiring,EESAVE=yes,LTO=no	1.6.13	470	9	0	false	0	0		0	
2018-05-26 11:44:11	50	50.1	https://travis-ci.org/per1234/wirino/jobs/384062556	push	false	false	typo	676804c055c5d20e80fab9a0ac01d90cbbb5b8c5	157e9ea49bf4...676804c055c5	f	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	wirino:avr:WiringS:clock=16MHz,BOD=2V7,bootloader=wiring,EESAVE=yes,LTO=no	1.8.5	470	9	0	false	0	0		0	
2018-05-26 11:44:20	50	50.1	https://travis-ci.org/per1234/wirino/jobs/384062556	push	false	false	typo	676804c055c5d20e80fab9a0ac01d90cbbb5b8c5	157e9ea49bf4...676804c055c5	f	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	wirino:avr:WiringS:clock=8MHz,BOD=4V3,bootloader=optiboot,EESAVE=no,LTO=yes	1.6.11	464	9	0	false	0	0		0	
2018-05-26 11:44:29	50	50.1	https://travis-ci.org/per1234/wirino/jobs/384062556	push	false	false	typo	676804c055c5d20e80fab9a0ac01d90cbbb5b8c5	157e9ea49bf4...676804c055c5	f	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	wirino:avr:WiringS:clock=8MHz,BOD=4V3,bootloader=optiboot,EESAVE=no,LTO=yes	1.6.13	464	9	0	false	0	0		0	
2018-05-26 11:44:36	50	50.1	https://travis-ci.org/per1234/wirino/jobs/384062556	push	false	false	typo	676804c055c5d20e80fab9a0ac01d90cbbb5b8c5	157e9ea49bf4...676804c055c5	f	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	wirino:avr:WiringS:clock=8MHz,BOD=4V3,bootloader=optiboot,EESAVE=no,LTO=yes	1.8.5	464	9	0	false	0	0		0	
2018-05-26 11:44:45	50	50.1	https://travis-ci.org/per1234/wirino/jobs/384062556	push	false	false	typo	676804c055c5d20e80fab9a0ac01d90cbbb5b8c5	157e9ea49bf4...676804c055c5	f	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	wirino:avr:WiringS:clock=16MHz,BOD=1V8,bootloader=none,EESAVE=yes,LTO=no	1.6.5-r5	470	9	0	false	0	0		0	
2018-05-26 11:44:54	50	50.1	https://travis-ci.org/per1234/wirino/jobs/384062556	push	false	false	typo	676804c055c5d20e80fab9a0ac01d90cbbb5b8c5	157e9ea49bf4...676804c055c5	f	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	wirino:avr:WiringS:clock=16MHz,BOD=1V8,bootloader=none,EESAVE=yes,LTO=no	1.6.9	470	9	0	false	0	0		0	
2018-05-26 11:45:04	50	50.1	https://travis-ci.org/per1234/wirino/jobs/384062556	push	false	false	typo	676804c055c5d20e80fab9a0ac01d90cbbb5b8c5	157e9ea49bf4...676804c055c5	f	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	wirino:avr:WiringS:clock=16MHz,BOD=1V8,bootloader=none,EESAVE=yes,LTO=no	1.6.11	470	9	0	false	0	0		0	
2018-05-26 11:45:14	50	50.1	https://travis-ci.org/per1234/wirino/jobs/384062556	push	false	false	typo	676804c055c5d20e80fab9a0ac01d90cbbb5b8c5	157e9ea49bf4...676804c055c5	f	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	wirino:avr:WiringS:clock=16MHz,BOD=1V8,bootloader=none,EESAVE=yes,LTO=no	1.6.13	470	9	0	false	0	0		0	
2018-05-26 11:45:21	50	50.1	https://travis-ci.org/per1234/wirino/jobs/384062556	push	false	false	typo	676804c055c5d20e80fab9a0ac01d90cbbb5b8c5	157e9ea49bf4...676804c055c5	f	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	wirino:avr:WiringS:clock=16MHz,BOD=1V8,bootloader=none,EESAVE=yes,LTO=no	1.8.5	470	9	0	false	0	0		0	
2018-05-26 11:45:30	50	50.1	https://travis-ci.org/per1234/wirino/jobs/384062556	push	false	false	typo	676804c055c5d20e80fab9a0ac01d90cbbb5b8c5	157e9ea49bf4...676804c055c5	f	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	wirino:avr:WiringS:clock=16MHz,BOD=disabled,bootloader=wiring,EESAVE=yes,LTO=no	1.6.5-r5	470	9	0	false	0	0		0	
2018-05-26 11:45:39	50	50.1	https://travis-ci.org/per1234/wirino/jobs/384062556	push	false	false	typo	676804c055c5d20e80fab9a0ac01d90cbbb5b8c5	157e9ea49bf4...676804c055c5	f	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	wirino:avr:WiringS:clock=16MHz,BOD=disabled,bootloader=wiring,EESAVE=yes,LTO=no	1.6.9	470	9	0	false	0	0		0	
2018-05-26 11:45:49	50	50.1	https://travis-ci.org/per1234/wirino/jobs/384062556	push	false	false	typo	676804c055c5d20e80fab9a0ac01d90cbbb5b8c5	157e9ea49bf4...676804c055c5	f	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	wirino:avr:WiringS:clock=16MHz,BOD=disabled,bootloader=wiring,EESAVE=yes,LTO=no	1.6.11	470	9	0	false	0	0		0	
2018-05-26 11:45:58	50	50.1	https://travis-ci.org/per1234/wirino/jobs/384062556	push	false	false	typo	676804c055c5d20e80fab9a0ac01d90cbbb5b8c5	157e9ea49bf4...676804c055c5	f	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	wirino:avr:WiringS:clock=16MHz,BOD=disabled,bootloader=wiring,EESAVE=yes,LTO=no	1.6.13	470	9	0	false	0	0		0	
2018-05-26 11:46:05	50	50.1	https://travis-ci.org/per1234/wirino/jobs/384062556	push	false	false	typo	676804c055c5d20e80fab9a0ac01d90cbbb5b8c5	157e9ea49bf4...676804c055c5	f	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	wirino:avr:WiringS:clock=16MHz,BOD=disabled,bootloader=wiring,EESAVE=yes,LTO=no	1.8.5	470	9	0	false	0	0		0	
2018-05-26 11:46:14	50	50.1	https://travis-ci.org/per1234/wirino/jobs/384062556	push	false	false	typo	676804c055c5d20e80fab9a0ac01d90cbbb5b8c5	157e9ea49bf4...676804c055c5	f	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	wirino:avr:WiringSPlayShield:clock=16MHz,BOD=2V7,bootloader=wiring,EESAVE=yes,LTO=no	1.6.5-r5	470	9	0	false	0	0		0	
2018-05-26 11:46:24	50	50.1	https://travis-ci.org/per1234/wirino/jobs/384062556	push	false	false	typo	676804c055c5d20e80fab9a0ac01d90cbbb5b8c5	157e9ea49bf4...676804c055c5	f	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	wirino:avr:WiringSPlayShield:clock=16MHz,BOD=2V7,bootloader=wiring,EESAVE=yes,LTO=no	1.6.9	470	9	0	false	0	0		0	
2018-05-26 11:46:34	50	50.1	https://travis-ci.org/per1234/wirino/jobs/384062556	push	false	false	typo	676804c055c5d20e80fab9a0ac01d90cbbb5b8c5	157e9ea49bf4...676804c055c5	f	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	wirino:avr:WiringSPlayShield:clock=16MHz,BOD=2V7,bootloader=wiring,EESAVE=yes,LTO=no	1.6.11	470	9	0	false	0	0		0	
2018-05-26 11:46:43	50	50.1	https://travis-ci.org/per1234/wirino/jobs/384062556	push	false	false	typo	676804c055c5d20e80fab9a0ac01d90cbbb5b8c5	157e9ea49bf4...676804c055c5	f	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	wirino:avr:WiringSPlayShield:clock=16MHz,BOD=2V7,bootloader=wiring,EESAVE=yes,LTO=no	1.6.13	470	9	0	false	0	0		0	
2018-05-26 11:46:51	50	50.1	https://travis-ci.org/per1234/wirino/jobs/384062556	push	false	false	typo	676804c055c5d20e80fab9a0ac01d90cbbb5b8c5	157e9ea49bf4...676804c055c5	f	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	wirino:avr:WiringSPlayShield:clock=16MHz,BOD=2V7,bootloader=wiring,EESAVE=yes,LTO=no	1.8.5	470	9	0	false	0	0		0	
2018-05-26 11:47:00	50	50.1	https://travis-ci.org/per1234/wirino/jobs/384062556	push	false	false	typo	676804c055c5d20e80fab9a0ac01d90cbbb5b8c5	157e9ea49bf4...676804c055c5	f	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	wirino:avr:WiringSPlayShield:clock=8MHz,BOD=4V3,bootloader=optiboot,EESAVE=no,LTO=yes	1.6.11	464	9	0	false	0	0		0	
2018-05-26 11:47:09	50	50.1	https://travis-ci.org/per1234/wirino/jobs/384062556	push	false	false	typo	676804c055c5d20e80fab9a0ac01d90cbbb5b8c5	157e9ea49bf4...676804c055c5	f	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	wirino:avr:WiringSPlayShield:clock=8MHz,BOD=4V3,bootloader=optiboot,EESAVE=no,LTO=yes	1.6.13	464	9	0	false	0	0		0	
2018-05-26 11:47:16	50	50.1	https://travis-ci.org/per1234/wirino/jobs/384062556	push	false	false	typo	676804c055c5d20e80fab9a0ac01d90cbbb5b8c5	157e9ea49bf4...676804c055c5	f	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	wirino:avr:WiringSPlayShield:clock=8MHz,BOD=4V3,bootloader=optiboot,EESAVE=no,LTO=yes	1.8.5	464	9	0	false	0	0		0	
2018-05-26 11:47:25	50	50.1	https://travis-ci.org/per1234/wirino/jobs/384062556	push	false	false	typo	676804c055c5d20e80fab9a0ac01d90cbbb5b8c5	157e9ea49bf4...676804c055c5	f	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	wirino:avr:WiringSPlayShield:clock=16MHz,BOD=1V8,bootloader=none,EESAVE=yes,LTO=no	1.6.5-r5	470	9	0	false	0	0		0	
2018-05-26 11:47:35	50	50.1	https://travis-ci.org/per1234/wirino/jobs/384062556	push	false	false	typo	676804c055c5d20e80fab9a0ac01d90cbbb5b8c5	157e9ea49bf4...676804c055c5	f	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	wirino:avr:WiringSPlayShield:clock=16MHz,BOD=1V8,bootloader=none,EESAVE=yes,LTO=no	1.6.9	470	9	0	false	0	0		0	
