Build Timestamp (UTC)	Build	Job	Job URL	Build Trigger	Allow Job Failure	PR#	Branch	Commit	Commit Range	Commit Message	Sketch Filename	Board ID	IDE Version	Program Storage (bytes)	Dynamic Memory (bytes)	# Warnings	Allow Failure	Exit Status	# Board Issues	Board Issue	# Library Issues	Library Issue
2019-06-20 08:37:31	22	22.16	https://travis-ci.org/per1234/megaTinyCore/jobs/548098397	push	false	false	travis	8ec9fe07535c3b3aa4f9d3ef3091630b3868a773	d20bd4ea1c41...8ec9fe07535c	Check for files that don't end in a newline during CI build	/home/travis/arduino-ide/arduino/examples/02.Digital/Debounce/Debounce.ino	megaTinyCore:megaavr:atxy6:chip=806	1.8.9	1270	32	2	false	0	0		0	
2019-06-20 08:37:34	22	22.16	https://travis-ci.org/per1234/megaTinyCore/jobs/548098397	push	false	false	travis	8ec9fe07535c3b3aa4f9d3ef3091630b3868a773	d20bd4ea1c41...8ec9fe07535c	Check for files that don't end in a newline during CI build	/home/travis/arduino-ide/arduino/examples/02.Digital/Button/Button.ino	megaTinyCore:megaavr:atxy6:chip=806	1.8.9	1054	22	0	false	0	0		0	
2019-06-20 08:37:36	22	22.16	https://travis-ci.org/per1234/megaTinyCore/jobs/548098397	push	false	false	travis	8ec9fe07535c3b3aa4f9d3ef3091630b3868a773	d20bd4ea1c41...8ec9fe07535c	Check for files that don't end in a newline during CI build	/home/travis/arduino-ide/arduino/examples/02.Digital/toneKeyboard/toneKeyboard.ino	megaTinyCore:megaavr:atxy6:chip=806	1.8.9				false	1				
2019-06-20 08:37:39	22	22.16	https://travis-ci.org/per1234/megaTinyCore/jobs/548098397	push	false	false	travis	8ec9fe07535c3b3aa4f9d3ef3091630b3868a773	d20bd4ea1c41...8ec9fe07535c	Check for files that don't end in a newline during CI build	/home/travis/arduino-ide/arduino/examples/02.Digital/BlinkWithoutDelay/BlinkWithoutDelay.ino	megaTinyCore:megaavr:atxy6:chip=806	1.8.9	1052	28	1	false	0	0		0	
2019-06-20 08:37:42	22	22.16	https://travis-ci.org/per1234/megaTinyCore/jobs/548098397	push	false	false	travis	8ec9fe07535c3b3aa4f9d3ef3091630b3868a773	d20bd4ea1c41...8ec9fe07535c	Check for files that don't end in a newline during CI build	/home/travis/arduino-ide/arduino/examples/02.Digital/StateChangeDetection/StateChangeDetection.ino	megaTinyCore:megaavr:atxy6:chip=806	1.8.9	2986	85	0	false	0	0		0	
2019-06-20 08:37:45	22	22.16	https://travis-ci.org/per1234/megaTinyCore/jobs/548098397	push	false	false	travis	8ec9fe07535c3b3aa4f9d3ef3091630b3868a773	d20bd4ea1c41...8ec9fe07535c	Check for files that don't end in a newline during CI build	/home/travis/arduino-ide/arduino/examples/02.Digital/toneMelody/toneMelody.ino	megaTinyCore:megaavr:atxy6:chip=806	1.8.9				false	1				
2019-06-20 08:37:48	22	22.16	https://travis-ci.org/per1234/megaTinyCore/jobs/548098397	push	false	false	travis	8ec9fe07535c3b3aa4f9d3ef3091630b3868a773	d20bd4ea1c41...8ec9fe07535c	Check for files that don't end in a newline during CI build	/home/travis/arduino-ide/arduino/examples/02.Digital/DigitalInputPullup/DigitalInputPullup.ino	megaTinyCore:megaavr:atxy6:chip=806	1.8.9	2618	79	0	false	0	0		0	
2019-06-20 08:37:50	22	22.16	https://travis-ci.org/per1234/megaTinyCore/jobs/548098397	push	false	false	travis	8ec9fe07535c3b3aa4f9d3ef3091630b3868a773	d20bd4ea1c41...8ec9fe07535c	Check for files that don't end in a newline during CI build	/home/travis/arduino-ide/arduino/examples/02.Digital/tonePitchFollower/tonePitchFollower.ino	megaTinyCore:megaavr:atxy6:chip=806	1.8.9				false	1				
2019-06-20 08:37:53	22	22.16	https://travis-ci.org/per1234/megaTinyCore/jobs/548098397	push	false	false	travis	8ec9fe07535c3b3aa4f9d3ef3091630b3868a773	d20bd4ea1c41...8ec9fe07535c	Check for files that don't end in a newline during CI build	/home/travis/arduino-ide/arduino/examples/02.Digital/toneMultiple/toneMultiple.ino	megaTinyCore:megaavr:atxy6:chip=806	1.8.9				false	1				
